"url","Prettylink","Prettylink_link","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Steven Silcott II","https://twitter.com/sws54","The Gipper Was Right #WeThePeople #GOP #WakeUpAmerica #MAGA #TrumpTrain #Trump2016 #NeverTrumperspic.twitter.com/mQYUx6DT9R","Author Lee Jackson‏ @Stonewall_77; 11 Sep 2016; #WeThePeople; #GOP; #WakeUpAmerica; #MAGA; #TrumpTrain; #Trump2016; #NeverTrumpers; pic.twitter.com/mQYUx6DT9R","https://twitter.com/Stonewall_77; https://twitter.com/Stonewall_77/status/775056992402415616; https://twitter.com/hashtag/WeThePeople?src=hash; https://twitter.com/hashtag/GOP?src=hash; https://twitter.com/hashtag/WakeUpAmerica?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/TrumpTrain?src=hash; https://twitter.com/hashtag/Trump2016?src=hash; https://twitter.com/hashtag/NeverTrumpers?src=hash; https://t.co/mQYUx6DT9R","https://pbs.twimg.com/media/CsGNVQ-UAAIsqIf.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","I've been saying it for months she will have a Doctors excuse for the debates she's wounded #MAGA","Tommy‏ @birdman8272; 11 Sep 2016; @comfort_dawn; @MooiachiRios; @OneTrump4All; #MAGA","https://twitter.com/birdman8272; https://twitter.com/birdman8272/status/775121534662811648; https://twitter.com/comfort_dawn; https://twitter.com/MooiachiRios; https://twitter.com/OneTrump4All; https://twitter.com/hashtag/MAGA?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","Spirit of America #NeverForget #NeverForget15years #MAGA pic.twitter.com/NHKR1882Cm","Traveler‏ @compandsquare; 11 Sep 2016; #NeverForget; #NeverForget15years; #MAGA; pic.twitter.com/NHKR1882Cm","https://twitter.com/compandsquare; https://twitter.com/compandsquare/status/775121559753064448; https://twitter.com/hashtag/NeverForget?src=hash; https://twitter.com/hashtag/NeverForget15years?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/NHKR1882Cm","https://pbs.twimg.com/media/CsHI6YQUMAEfqQt.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Butch","https://twitter.com/kaarkon","LOOKs like we dealing w/ Michael Jackson type sh*t Hillary Clinton stumbles into van. #LockHerUp #TrumpPence16 #MAGA pic.twitter.com/jVbJCdw76U – at The White House","Bruce Porter, Jr.‏ @NetworksManager; 11 Sep 2016; @NetworksManager; #LockHerUp; #TrumpPence16; #MAGA; pic.twitter.com/jVbJCdw76U; The White House","https://twitter.com/NetworksManager; https://twitter.com/NetworksManager/status/775046450292064256; https://twitter.com/NetworksManager; https://twitter.com/hashtag/LockHerUp?src=hash; https://twitter.com/hashtag/TrumpPence16?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/jVbJCdw76U; https://twitter.com/search?q=place%3A07d9dafff4481002","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","Patient Info certainly disagrees with you... #FeelTheBern #ImWithHer #MAGA #HillarysHealth https://twitter.com/BernieTrumpUSA/status/775119645153955840 …pic.twitter.com/NsFtHtSBBy","Trevin Shu‏ @RealTrevinShu; 11 Sep 2016; #FeelTheBern; #ImWithHer; #MAGA; #HillarysHealth; https://twitter.com/BernieTrumpUSA/status/775119645153955840 …; pic.twitter.com/NsFtHtSBBy","https://twitter.com/RealTrevinShu; https://twitter.com/RealTrevinShu/status/775121529218609152; https://twitter.com/hashtag/FeelTheBern?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/HillarysHealth?src=hash; https://t.co/GdejsWS3rQ; https://t.co/NsFtHtSBBy","https://pbs.twimg.com/media/CsHI66tVUAAglh_.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","skyking48","https://twitter.com/ron_vanettes","Clinton Now Must Release Full Medical Records: Pneumonia, Prove It, Prove It All, No More Lies http://www.politico.com/story/2016/09/hillary-clinton-has-pneumonia-doctor-says-228012 … #MAGA #TrumpPence16","Lou Dobbs‏Verified account @LouDobbs; 11 Sep 2016; http://www.politico.com/story/2016/09/hillary-clinton-has-pneumonia-doctor-says-228012 …; #MAGA; #TrumpPence16","https://twitter.com/LouDobbs; https://twitter.com/LouDobbs/status/775116695908286464; https://t.co/F2z1QE8DDm; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/TrumpPence16?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","TIMJPH","https://twitter.com/truthismaster","HRC has looked sickly and frumpy for months. She is the Deplorable. She should step aside. #tcot #ccot #gop #maga pic.twitter.com/ag0ZaRxmGw","John K Stahl‏ @JohnKStahlUSA; 11 Sep 2016; #tcot; #ccot; #gop; #maga; pic.twitter.com/ag0ZaRxmGw","https://twitter.com/JohnKStahlUSA; https://twitter.com/JohnKStahlUSA/status/775120791918682112; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/ccot?src=hash; https://twitter.com/hashtag/gop?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/ag0ZaRxmGw","https://pbs.twimg.com/media/CsHIP_SVUAA_FM-.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Cynthia","https://twitter.com/Cynthia_Jeanne3","Trump has taken lead in Ohio. After today, other swing states will swing. HRC is done. #tcot #ccot #gop #maga pic.twitter.com/l159RFfWWs","John K Stahl‏ @JohnKStahlUSA; 11 Sep 2016; #tcot; #ccot; #gop; #maga; pic.twitter.com/l159RFfWWs","https://twitter.com/JohnKStahlUSA; https://twitter.com/JohnKStahlUSA/status/775114743589679105; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/ccot?src=hash; https://twitter.com/hashtag/gop?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/l159RFfWWs","https://pbs.twimg.com/media/CsHCvNXVYAA-SEq.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Elizabeth","https://twitter.com/lizzym420","Hillary, to the left, being disrespectful not paying attention. . . Trump, to the right, attentive and alert. #MAGA pic.twitter.com/EKTslCROz4","👨🏾‍💻‏ @TrueCharter; 11 Sep 2016; #MAGA; pic.twitter.com/EKTslCROz4","https://twitter.com/TrueCharter; https://twitter.com/TrueCharter/status/775071092511682560; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/EKTslCROz4","https://pbs.twimg.com/media/CsGa5OpUkAAsV7e.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Bryan Doyle","https://twitter.com/Bryan700","Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA pic.twitter.com/C5ipaxUN7B","Donald J. Trump‏Verified account @realDonaldTrump; 8 Sep 2016; #ImWithYou; #MAGA; pic.twitter.com/C5ipaxUN7B","https://twitter.com/realDonaldTrump; https://twitter.com/realDonaldTrump/status/774064919633428480; https://twitter.com/hashtag/ImWithYou?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/C5ipaxUN7B","https://pbs.twimg.com/media/Cr4H7u6WEAAP4wv.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","#maga exaggeration to forget half of Trump’s basket of deplorables,”the racist,sexist, homophobic, xenophobic, Islamophobic, you name it -C","jerry bray‏ @noxonoxo; 11 Sep 2016; #maga","https://twitter.com/noxonoxo; https://twitter.com/noxonoxo/status/775121712631472128; https://twitter.com/hashtag/maga?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","Net Wrk Guy","https://twitter.com/netwrkguy","CORRUPT MSM is trying ELECT an unindicted CRIMINAL 2POTUS, ONLY A TRUMP vote will DEFEAT THEM pic.twitter.com/v2YRSaKmK4 #MAGA #NYGvsDAL 2","Anthony Fezio‏ @afezio1952; 11 Sep 2016; pic.twitter.com/v2YRSaKmK4; #MAGA; #NYGvsDAL","https://twitter.com/afezio1952; https://twitter.com/afezio1952/status/775116579998539776; https://t.co/v2YRSaKmK4; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/NYGvsDAL?src=hash","https://pbs.twimg.com/media/CsHD5NlUsAAfYBY.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","My family is just stock full of veterans and Mexicans, all proud to #MAGA. #BasketOfDeplorables #NeverHillaryhttps://twitter.com/ScottPresler/status/774601916261265409 …","Old School Patriot‏ @Alpha_Patriot; 11 Sep 2016; #MAGA; #BasketOfDeplorables; #NeverHillary; https://twitter.com/ScottPresler/status/774601916261265409 …","https://twitter.com/Alpha_Patriot; https://twitter.com/Alpha_Patriot/status/775121698697781248; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/NeverHillary?src=hash; https://t.co/yCT4wJgELE","https://pbs.twimg.com/media/Cr_wVYeWIAAG939.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","DeplorableDocs will assess #CYA this week & pneumo will suddenly morph AGAIN x 10 #CrookedMDsForHillary #MAGA #Trump https://twitter.com/realkingrobbo/status/775075493423046656 …","PARADOCS ☤ POTUS45‏ @UNIMEDMD; 11 Sep 2016; #CYA; #CrookedMDsForHillary; #MAGA; #Trump; https://twitter.com/realkingrobbo/status/775075493423046656 …","https://twitter.com/UNIMEDMD; https://twitter.com/UNIMEDMD/status/775121677407531008; https://twitter.com/hashtag/CYA?src=hash; https://twitter.com/hashtag/CrookedMDsForHillary?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/Trump?src=hash; https://t.co/JAD1CsOqhE","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","We must unite today, tomorrow is too late..! #1600TEAM #LationsWithTrump #MAGA https://twitter.com/MarcoGutierrez/status/775119875672936453 …","American Optimist‏ @dls58; 11 Sep 2016; #1600TEAM; #LationsWithTrump; #MAGA; https://twitter.com/MarcoGutierrez/status/775119875672936453 …","https://twitter.com/dls58; https://twitter.com/dls58/status/775121659472728064; https://twitter.com/hashtag/1600TEAM?src=hash; https://twitter.com/hashtag/LationsWithTrump?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/TlnIN4keqG","https://pbs.twimg.com/media/CsHHakxVUAAo8BC.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","@Pamela_Moore13 #HillaryHealth infecting others so, Bad Judgement. Or it's another cover-up. Either way, unfit! #MAGA #Trump","Bigly Cheese Wizz‏ @DerekJSnider; 11 Sep 2016; @GeminigalMolly; #HillaryHealth; #MAGA; #Trump","https://twitter.com/DerekJSnider; https://twitter.com/DerekJSnider/status/775121588999954432; https://twitter.com/GeminigalMolly; https://twitter.com/hashtag/HillaryHealth?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/Trump?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","#HackingHillary: A complete timeline of 2016 coughing fits http://www.freerepublic.com/focus/f-news/3468282/posts … #DemocratsDestructionOfAmerica #tcot #TRUMP2016 #MAGA","God Bless 🇺🇸‏ @therayban; 11 Sep 2016; #HackingHillary; http://www.freerepublic.com/focus/f-news/3468282/posts …; #DemocratsDestructionOfAmerica; #tcot; #TRUMP2016; #MAGA","https://twitter.com/therayban; https://twitter.com/therayban/status/775121556439568384; https://twitter.com/hashtag/HackingHillary?src=hash; https://t.co/jrrjVfm92j; https://twitter.com/hashtag/DemocratsDestructionOfAmerica?src=hash; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/TRUMP2016?src=hash; https://twitter.com/hashtag/MAGA?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","","Should we believe #CrookedHillary has pneumonia?Allergies to pneumonia? Just like her evolving (lying) email stories. #maga #HillaryHealth","MS Allen‏ @RealMSA941; 11 Sep 2016; #CrookedHillary; #maga; #HillaryHealth","https://twitter.com/RealMSA941; https://twitter.com/RealMSA941/status/775121534885048320; https://twitter.com/hashtag/CrookedHillary?src=hash; https://twitter.com/hashtag/maga?src=hash; https://twitter.com/hashtag/HillaryHealth?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-11%20until%3A2016-09-12&src=typd&lang=en","","",".@realDonaldTrump should just keep his messaging to how he will help the people & #MAGA. Mention #HillarysHealth, but won't be the focus.","Wiz Kid‏ @footballwizkid; 11 Sep 2016; #MAGA; #HillarysHealth","https://twitter.com/footballwizkid; https://twitter.com/footballwizkid/status/775121452660035584; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/HillarysHealth?src=hash","","",""
