"url","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","Any bets on how long Trump Marriage Number 3 will last after the campaign? #ImWithHer #NeverTrump #DirtyDonald","Honey #DemForce‏ @Honey17011; 7 Oct 2016; #ImWithHer; #NeverTrump; #DirtyDonald","https://twitter.com/Honey17011; https://twitter.com/Honey17011/status/784543538944045056; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/DirtyDonald?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","#ImWithHer Trump in 2005 Billy Bush pic.twitter.com/ermYj1vfe8","Shannon Watts‏Verified account @shannonrwatts; 7 Oct 2016; #ImWithHer; pic.twitter.com/ermYj1vfe8","https://twitter.com/shannonrwatts; https://twitter.com/shannonrwatts/status/784543629742309376; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/ermYj1vfe8","https://pbs.twimg.com/media/CuNCRQwWcAA6h7U.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","It’s an easy call: #HillaryClinton for #president . http://google.com/newsstand/s/CBIwnJW4sS4 … #ImWithHer #NeverTrump #USLatino #TNTweeters #VoteBlue #NoGOP","Jen Roman 📎‏ @NgullenR; 7 Oct 2016; #HillaryClinton; #president; http://google.com/newsstand/s/CBIwnJW4sS4 …; #ImWithHer; #NeverTrump; #USLatino; #TNTweeters; #VoteBlue; #NoGOP","https://twitter.com/NgullenR; https://twitter.com/NgullenR/status/784543670599094272; https://twitter.com/hashtag/HillaryClinton?src=hash; https://twitter.com/hashtag/president?src=hash; https://t.co/gp2bHyPvGc; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/USLatino?src=hash; https://twitter.com/hashtag/TNTweeters?src=hash; https://twitter.com/hashtag/VoteBlue?src=hash; https://twitter.com/hashtag/NoGOP?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","RELEASE: The Podesta Emails #HillaryClinton #Podesta #imWithHer https://wikileaks.org/podesta-emails/ pic.twitter.com/wG62qdTWA1 https://twitter.com/wikileaks/status/784491543868665856 …","1Birdie4Sanders‏ @1Birdie4Sanders; 7 Oct 2016; #HillaryClinton; #Podesta; #imWithHer; https://wikileaks.org/podesta-emails/; pic.twitter.com/wG62qdTWA1; https://twitter.com/wikileaks/status/784491543868665856 …","https://twitter.com/1Birdie4Sanders; https://twitter.com/1Birdie4Sanders/status/784543540172947456; https://twitter.com/hashtag/HillaryClinton?src=hash; https://twitter.com/hashtag/Podesta?src=hash; https://twitter.com/hashtag/imWithHer?src=hash; https://t.co/8htMvSwQXX; https://t.co/wG62qdTWA1; https://t.co/sSF7p19fPA","https://pbs.twimg.com/media/CuMSqoaWIAA-SR1.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","Seduction? Seriously?!? He is talking about sexual assault! #ImWithHer #VoteBlue #DefeatGOP #NeverTrumphttps://twitter.com/mckaycoppins/status/784486259741888512 …","Reese #DemForce‏ @reese_malmgren; 7 Oct 2016; #ImWithHer; #VoteBlue; #DefeatGOP; #NeverTrump; https://twitter.com/mckaycoppins/status/784486259741888512 …","https://twitter.com/reese_malmgren; https://twitter.com/reese_malmgren/status/784543768108208128; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/VoteBlue?src=hash; https://twitter.com/hashtag/DefeatGOP?src=hash; https://twitter.com/hashtag/NeverTrump?src=hash; https://t.co/LtSy1z0yZs","https://pbs.twimg.com/media/CuMOAcMWcAEeDfH.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","Nice, #DonaldTrump. Very nice. #imwithher pic.twitter.com/JcdaBVE5Fx","Hiko Mitsuzuka‏ @TheFirstEcho; 7 Oct 2016; #DonaldTrump; #imwithher; pic.twitter.com/JcdaBVE5Fx","https://twitter.com/TheFirstEcho; https://twitter.com/TheFirstEcho/status/784543762194239488; https://twitter.com/hashtag/DonaldTrump?src=hash; https://twitter.com/hashtag/imwithher?src=hash; https://t.co/JcdaBVE5Fx","https://pbs.twimg.com/media/CuNCXinWYAAOpVV.jpg","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","Too be fair @GOP didn't stand for family values when it attacked #LGBT and single-parent led families. #BasketOfDeplorables #ImWithHer https://twitter.com/politicalwire/status/784540333334007808 …","Omar GP‏ @omargp; 7 Oct 2016; @GOP; #LGBT; #BasketOfDeplorables; #ImWithHer; https://twitter.com/politicalwire/status/784540333334007808 …","https://twitter.com/omargp; https://twitter.com/omargp/status/784543686801620992; https://twitter.com/GOP; https://twitter.com/hashtag/LGBT?src=hash; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/WOwtmlmHig","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","#JillNotHill #Hillary #BringBernieBack #BringBackBernie #ImWithHer #FeelTheBern #Hillary2016 #JillStein2016 #ShesWithUs #HillarysHealthhttps://twitter.com/davidsirota/status/784543571139522560 …","Arnold W. Kappa‏ @barbos2; 7 Oct 2016; #JillNotHill; #Hillary; #BringBernieBack; #BringBackBernie; #ImWithHer; #FeelTheBern; #Hillary2016; #JillStein2016; #ShesWithUs; #HillarysHealth; https://twitter.com/davidsirota/status/784543571139522560 …","https://twitter.com/barbos2; https://twitter.com/barbos2/status/784543664982855681; https://twitter.com/hashtag/JillNotHill?src=hash; https://twitter.com/hashtag/Hillary?src=hash; https://twitter.com/hashtag/BringBernieBack?src=hash; https://twitter.com/hashtag/BringBackBernie?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/FeelTheBern?src=hash; https://twitter.com/hashtag/Hillary2016?src=hash; https://twitter.com/hashtag/JillStein2016?src=hash; https://twitter.com/hashtag/ShesWithUs?src=hash; https://twitter.com/hashtag/HillarysHealth?src=hash; https://t.co/DapIIHQK5O","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","I am so proud to stand with you and be a part of making HerStory. #lovetrumpshate #imwithher #Hillary2016 #HerStoryCampaign","Jeffrey Scott Basham‏ @jeffreysbasham; 7 Oct 2016; @HillaryClinton; #lovetrumpshate; #imwithher; #Hillary2016; #HerStoryCampaign","https://twitter.com/jeffreysbasham; https://twitter.com/jeffreysbasham/status/784543664068554753; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/lovetrumpshate?src=hash; https://twitter.com/hashtag/imwithher?src=hash; https://twitter.com/hashtag/Hillary2016?src=hash; https://twitter.com/hashtag/HerStoryCampaign?src=hash","","",""
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-07%20until%3A2016-10-08&src=typd&lang=en","Facts #StrongerTogether #HillaryClinton #DanScavino #ImWithHer #AfricanAmerican #Clinton @realDonaldTrump #NorthCarolina #Ohio #florida #pahttps://twitter.com/BeanfromPa/status/784534508355854339 …","Deplorable Gary Lee‏ @garyibe007; 7 Oct 2016; #StrongerTogether; #HillaryClinton; #DanScavino; #ImWithHer; #AfricanAmerican; #Clinton; @realDonaldTrump; #NorthCarolina; #Ohio; #florida; #pa; https://twitter.com/BeanfromPa/status/784534508355854339 …","https://twitter.com/garyibe007; https://twitter.com/garyibe007/status/784543641897500672; https://twitter.com/hashtag/StrongerTogether?src=hash; https://twitter.com/hashtag/HillaryClinton?src=hash; https://twitter.com/hashtag/DanScavino?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/AfricanAmerican?src=hash; https://twitter.com/hashtag/Clinton?src=hash; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/NorthCarolina?src=hash; https://twitter.com/hashtag/Ohio?src=hash; https://twitter.com/hashtag/florida?src=hash; https://twitter.com/hashtag/pa?src=hash; https://t.co/5pVvIyTOcM","https://pbs.twimg.com/media/CuM5-HtWIAACTB9.jpg","",""
