"url","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Crooked Clintons Era must end now! Take out the puppet and then @georgesoros the puppet master .. just #followthemoney #MAGA pic.twitter.com/jqFFWcAsht","American Fighter 🇺🇸‏ @DarkNetXX; 28 Sep 2016; @georgesoros; #followthemoney; #MAGA; pic.twitter.com/jqFFWcAsht","https://twitter.com/DarkNetXX; https://twitter.com/DarkNetXX/status/781282062317842432; https://twitter.com/georgesoros; https://twitter.com/hashtag/followthemoney?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/jqFFWcAsht","https://pbs.twimg.com/profile_images/795655554291077124/hnKuV9BY_bigger.jpg; https://abs.twimg.com/emoji/v2/72x72/1f449-1f3fb.png; https://abs.twimg.com/emoji/v2/72x72/1f449-1f3fb.png; https://pbs.twimg.com/media/Cter5CeWEAAlx5o.jpg","; 👉🏻; 👉🏻; ","https://twitter.com/DarkNetXX; ; ; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","How did Hillary get rich with no business or product for sale? @realDonaldTrump and @KellyannePolls knows. #payforplay #maga #TrumpTrain","MountainRunr‏ @glasshausstoner; 28 Sep 2016; @realDonaldTrump; @KellyannePolls; #payforplay; #maga; #TrumpTrain","https://twitter.com/glasshausstoner; https://twitter.com/glasshausstoner/status/781282036069740544; https://twitter.com/realDonaldTrump; https://twitter.com/KellyannePolls; https://twitter.com/hashtag/payforplay?src=hash; https://twitter.com/hashtag/maga?src=hash; https://twitter.com/hashtag/TrumpTrain?src=hash","https://pbs.twimg.com/profile_images/825895353404715009/mlpJS8Id_bigger.jpg","","https://twitter.com/glasshausstoner"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","We need the law & order president #TrumpTrain #trumpnow #TrumpPence16 #HesWithUs #AmericaFirst #MAGA https://twitter.com/TrumpFever2016/status/781281594720022528 …","SA‏ @SafetyAuthorize; 28 Sep 2016; #TrumpTrain; #trumpnow; #TrumpPence16; #HesWithUs; #AmericaFirst; #MAGA; https://twitter.com/TrumpFever2016/status/781281594720022528 …","https://twitter.com/SafetyAuthorize; https://twitter.com/SafetyAuthorize/status/781281986857963520; https://twitter.com/hashtag/TrumpTrain?src=hash; https://twitter.com/hashtag/trumpnow?src=hash; https://twitter.com/hashtag/TrumpPence16?src=hash; https://twitter.com/hashtag/HesWithUs?src=hash; https://twitter.com/hashtag/AmericaFirst?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/BNIv0nO3Wc","https://pbs.twimg.com/profile_images/801828490995703808/lF4Exy-B_bigger.jpg","","https://twitter.com/SafetyAuthorize"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","All of them, Hillary needs all of these devices and a lot more #MAGA #pjnet #ccot #proudamerican #wakeupamerica https://twitter.com/shopdad77/status/781196400969277440 …","Robert fata‏ @Robertfata1; 28 Sep 2016; #MAGA; #pjnet; #ccot; #proudamerican; #wakeupamerica; https://twitter.com/shopdad77/status/781196400969277440 …","https://twitter.com/Robertfata1; https://twitter.com/Robertfata1/status/781282263644250114; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/pjnet?src=hash; https://twitter.com/hashtag/ccot?src=hash; https://twitter.com/hashtag/proudamerican?src=hash; https://twitter.com/hashtag/wakeupamerica?src=hash; https://t.co/fggspChGgz","https://pbs.twimg.com/profile_images/822208757035859968/o3rE8gWT_bigger.jpg","","https://twitter.com/Robertfata1"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Remember she can't recall...... #TrumpTrain #neverhillary #corrupthillery #CrookedHillary #maga https://twitter.com/9ERSorBUST/status/781195436442865664 …","SA‏ @SafetyAuthorize; 28 Sep 2016; #TrumpTrain; #neverhillary; #corrupthillery; #CrookedHillary; #maga; https://twitter.com/9ERSorBUST/status/781195436442865664 …","https://twitter.com/SafetyAuthorize; https://twitter.com/SafetyAuthorize/status/781282240756011008; https://twitter.com/hashtag/TrumpTrain?src=hash; https://twitter.com/hashtag/neverhillary?src=hash; https://twitter.com/hashtag/corrupthillery?src=hash; https://twitter.com/hashtag/CrookedHillary?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/EYSlcM2fHm","https://pbs.twimg.com/profile_images/801828490995703808/lF4Exy-B_bigger.jpg","","https://twitter.com/SafetyAuthorize"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","@SherryPluskota @martina Besides, DT's mistakes on his worst day will be 1000 times better for America than HRC's on her best day. #MAGA","Deplorable Pirate‏ @jennypennifer; 28 Sep 2016; @SherryPluskota; @martina; #MAGA","https://twitter.com/jennypennifer; https://twitter.com/jennypennifer/status/781282321911734272; https://twitter.com/SherryPluskota; https://twitter.com/Martina; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/746732455659446273/Cm1rle9d_bigger.jpg","","https://twitter.com/jennypennifer"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Wow, I'm OHIO and I just watched one of my first @realDonaldTrump commercials on TV! Let it rain Donald! Bring the thunder! #MAGA","Jimmy's #TrumpTrain‏ @JimmysModel3; 28 Sep 2016; @realDonaldTrump; #MAGA","https://twitter.com/JimmysModel3; https://twitter.com/JimmysModel3/status/781282301653225476; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/719740196405714944/nsQD_JSr_bigger.jpg","","https://twitter.com/JimmysModel3"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#CriminalHillary CLEARED BY PROVING SHE IS TOO STUPID TO BE POTUS! BUT #Hillary2Jail WHEN #Trump BEGINS TO #MAGA! pic.twitter.com/3tjQbENPI6","Diana Gomez; Dr. Lynn J Anderson‏ @andersonDrLJA; 28 Sep 2016; #CriminalHillary; #Hillary2Jail; #Trump; #MAGA; pic.twitter.com/3tjQbENPI6","https://twitter.com/dianagomez110; https://twitter.com/andersonDrLJA; https://twitter.com/andersonDrLJA/status/781188127037599744; https://twitter.com/hashtag/CriminalHillary?src=hash; https://twitter.com/hashtag/Hillary2Jail?src=hash; https://twitter.com/hashtag/Trump?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/3tjQbENPI6","https://pbs.twimg.com/profile_images/652243528748150784/CT-zyFSu_bigger.png; https://pbs.twimg.com/media/CtdWdgcUkAA6Psc.jpg","; ","https://twitter.com/andersonDrLJA; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","- let it go. Not worth it. Attention goes where energy flows! #MAGA","Press Box Hot‏ @PressBoxHot; 28 Sep 2016; @AJDelgado13; #MAGA","https://twitter.com/PressBoxHot; https://twitter.com/PressBoxHot/status/781282287736410112; https://twitter.com/AJDelgado13; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/769981313390608384/6fSJKDwt_bigger.jpg; https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png","; 🇺🇸","https://twitter.com/PressBoxHot; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#MAGA@realDonaldTrump #MAGA #AmericaFirst #MAGA pic.twitter.com/uTNaRsAhyO","WoWo‏ @AnthonyWol; 28 Sep 2016; #MAGA; #MAGA; #AmericaFirst; #MAGA; pic.twitter.com/uTNaRsAhyO","https://twitter.com/AnthonyWol; https://twitter.com/AnthonyWol/status/781282270510518273; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/AmericaFirst?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/uTNaRsAhyO","https://pbs.twimg.com/profile_images/791430322604810240/5BgV0vRk_bigger.jpg; https://pbs.twimg.com/media/CtesEs5UEAAeyWq.jpg","; ","https://twitter.com/AnthonyWol; "
