"url","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","I'm pretty sure it was Donald Trump that had a Bromance with Putin. #DumpTrump #ImWithHer","Blake‏ @blakebenson42; 10 Sep 2016; @NipKilled; @yellingwithlove; @HillaryClinton; #DumpTrump; #ImWithHer","https://twitter.com/blakebenson42; https://twitter.com/blakebenson42/status/774757981858754560; https://twitter.com/NipKilled; https://twitter.com/yellingwithlove; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/DumpTrump?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/832076222368772098/6mIAIfjr_bigger.jpg","","https://twitter.com/blakebenson42"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","@BVGamble @timkaine Now compare this to Trump... #BabyKnowBest #TimKaine #ImWithHer pic.twitter.com/fzZBa4IbFd","Are & Be‏ @PettyRepellent; 10 Sep 2016; @ABCPolitics; @BVGamble; @timkaine; #BabyKnowBest; #TimKaine; #ImWithHer; pic.twitter.com/fzZBa4IbFd","https://twitter.com/PettyRepellent; https://twitter.com/PettyRepellent/status/774757968441057280; https://twitter.com/ABCPolitics; https://twitter.com/BVGamble; https://twitter.com/timkaine; https://twitter.com/hashtag/BabyKnowBest?src=hash; https://twitter.com/hashtag/TimKaine?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/fzZBa4IbFd","https://pbs.twimg.com/profile_images/855179463189037056/B8M_0-p7_bigger.jpg; https://pbs.twimg.com/media/CsB-QiJVIAAy5NH.jpg","; ","https://twitter.com/PettyRepellent; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","55,000 STRONG! TRUMP FLORIDA SUPPORTERS SET A RECORD! #MAGA #ImWithHer JOIN THE #TrumpTrain!https://twitter.com/EricTrump/status/774615890893672448 …","Deplorable BellaJane‏ @Bellajane127; 10 Sep 2016; #MAGA; #ImWithHer; #TrumpTrain; https://twitter.com/EricTrump/status/774615890893672448 …","https://twitter.com/Bellajane127; https://twitter.com/Bellajane127/status/774757907837521920; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/TrumpTrain?src=hash; https://t.co/LGQsOeAIm7","https://pbs.twimg.com/profile_images/755995241660846081/lH5zk_42_bigger.jpg; https://pbs.twimg.com/media/Cr_9C-iXYAA6oq9.jpg","; ","https://twitter.com/Bellajane127; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","#TrumpTrain #StrongerTogether #ImWithHer amazing that they can dish it out but they sure can't take it https://twitter.com/TheAtlantic/status/774716431413940224 …","Kate Branch 📎 ❄ 💪‏ @proudgreygay; 10 Sep 2016; #TrumpTrain; #StrongerTogether; #ImWithHer; https://twitter.com/TheAtlantic/status/774716431413940224 …","https://twitter.com/proudgreygay; https://twitter.com/proudgreygay/status/774757876057280512; https://twitter.com/hashtag/TrumpTrain?src=hash; https://twitter.com/hashtag/StrongerTogether?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/FqFWYjkvD5","https://pbs.twimg.com/profile_images/803006192289128448/mW5kc1qx_bigger.jpg; https://pbs.twimg.com/media/CsBYfONWAAA1KSG.jpg","; ","https://twitter.com/proudgreygay; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","Just vote for @HillaryClinton. Much easier! #LetGaryDebate #ImWithHer","Jim Keller‏ @Mumbojimbo; 10 Sep 2016; @HillaryClinton; #LetGaryDebate; #ImWithHer","https://twitter.com/Mumbojimbo; https://twitter.com/Mumbojimbo/status/774757859456319488; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/LetGaryDebate?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/851947723997818880/ZCx7pYxM_bigger.jpg","","https://twitter.com/Mumbojimbo"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","It's #TimeToForget. Trump doesn't understand. #ImWithHer #BlackLivesMatter #endhate #stopHate #occupydemocratspic.twitter.com/mSJCi5qWoX","Liberal Rick‏ @3234w; 10 Sep 2016; #TimeToForget; #ImWithHer; #BlackLivesMatter; #endhate; #stopHate; #occupydemocrats; pic.twitter.com/mSJCi5qWoX","https://twitter.com/3234w; https://twitter.com/3234w/status/774757847414476801; https://twitter.com/hashtag/TimeToForget?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/BlackLivesMatter?src=hash; https://twitter.com/hashtag/endhate?src=hash; https://twitter.com/hashtag/stopHate?src=hash; https://twitter.com/hashtag/occupydemocrats?src=hash; https://t.co/mSJCi5qWoX","https://pbs.twimg.com/profile_images/791459437386924032/LDqrTZnp_bigger.jpg; https://pbs.twimg.com/media/CsB-IK0XYAU8hXX.jpg","; ","https://twitter.com/3234w; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","It's #TimeToForget and end #Islamophobia #feminism #ImWithHer pic.twitter.com/zG5vrnwRqU","Sol BenDavid‏ @SolBenDavid_IDF; 10 Sep 2016; #TimeToForget; #Islamophobia; #feminism; #ImWithHer; pic.twitter.com/zG5vrnwRqU","https://twitter.com/SolBenDavid_IDF; https://twitter.com/SolBenDavid_IDF/status/774757762551119873; https://twitter.com/hashtag/TimeToForget?src=hash; https://twitter.com/hashtag/Islamophobia?src=hash; https://twitter.com/hashtag/feminism?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://t.co/zG5vrnwRqU","https://pbs.twimg.com/profile_images/478242436779483136/aioEtQYQ_bigger.jpeg; https://pbs.twimg.com/media/CsB-DQFWEAA8hYf.jpg; https://pbs.twimg.com/media/CsB-EDEWcAAFpIf.png; https://pbs.twimg.com/media/CsB-Ee3XgAEk8Q6.jpg","; ; ; ","https://twitter.com/SolBenDavid_IDF; ; ; "
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","@Reince @HillaryClinton That's what I think of you Reince! #NeverTrump #ImWithHer","Joan Sessoyeff‏ @joanse; 10 Sep 2016; @jonathanjewel; @Reince; @HillaryClinton; #NeverTrump; #ImWithHer","https://twitter.com/joanse; https://twitter.com/joanse/status/774757683714940928; https://twitter.com/jonathanjewel; https://twitter.com/Reince; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/NeverTrump?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/797907520253620224/JXVUa59f_bigger.jpg","","https://twitter.com/joanse"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","he ain't winning shit. In the electoral vote he's getting massacred. #ImWithHer","danny j‏ @supernaut72; 10 Sep 2016; @Kappy94; @mcuban; #ImWithHer","https://twitter.com/supernaut72; https://twitter.com/supernaut72/status/774757658238869504; https://twitter.com/Kappy94; https://twitter.com/mcuban; https://twitter.com/hashtag/ImWithHer?src=hash","https://pbs.twimg.com/profile_images/825842757474336769/PWs7vK-P_bigger.jpg","","https://twitter.com/supernaut72"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-10%20until%3A2016-09-11&src=typd&lang=en","This right herepure gold! Silly #libtards @POTUS @HillaryClinton #BasketOfDeplorables #ImWithHer #deplorablepic.twitter.com/WMJ9mVrtF8","Missy 🇺🇸‏ @Missy4Trump; 10 Sep 2016; #libtards; @POTUS; @HillaryClinton; #BasketOfDeplorables; #ImWithHer; #deplorable; pic.twitter.com/WMJ9mVrtF8","https://twitter.com/Missy4Trump; https://twitter.com/Missy4Trump/status/774757572805099521; https://twitter.com/hashtag/libtards?src=hash; https://twitter.com/POTUS; https://twitter.com/HillaryClinton; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/ImWithHer?src=hash; https://twitter.com/hashtag/deplorable?src=hash; https://t.co/WMJ9mVrtF8","https://pbs.twimg.com/profile_images/856356227680489476/Jlli4yt4_bigger.jpg; https://pbs.twimg.com/media/CsB95c1WIAAproa.jpg","; ","https://twitter.com/Missy4Trump; "
