"url","Prettylink","Prettylink_link","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Joe Santos","https://twitter.com/JoeSantos316","Thank you Tennessee! #MAGA pic.twitter.com/OoDFmerQ5B","Joe Santos; Donald J. Trump‏Verified account @realDonaldTrump; 6 Oct 2016; #MAGA; pic.twitter.com/OoDFmerQ5B","https://twitter.com/JoeSantos316; https://twitter.com/realDonaldTrump; https://twitter.com/realDonaldTrump/status/784150639689490432; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/OoDFmerQ5B","https://pbs.twimg.com/media/CuHc18tWAAE6PL2.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","","","Of late, every election cycle, the #Corrupt #Elites & take advantage of the ppl's better angels, bc the ppl CAN'T handle the #TRUTH! #MAGA","Colin Culpepper‏ @CulpepperColin; 7 Oct 2016; #Corrupt; #Elites; #TRUTH; #MAGA","https://twitter.com/CulpepperColin; https://twitter.com/CulpepperColin/status/784543664626434053; https://twitter.com/hashtag/Corrupt?src=hash; https://twitter.com/hashtag/Elites?src=hash; https://twitter.com/hashtag/TRUTH?src=hash; https://twitter.com/hashtag/MAGA?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","","","PeterTownsend7: PC 'Logic' and Islam #isis #pjnet #maga http://ptbooks.info/217-2 pic.twitter.com/2UMNayT85a #anythingbutislam #religionof…","Never a dhimmi‏ @Luandrew169; 7 Oct 2016; #isis; #pjnet; #maga; http://ptbooks.info/217-2; pic.twitter.com/2UMNayT85a; #anythingbutislam; #religionof","https://twitter.com/Luandrew169; https://twitter.com/Luandrew169/status/784543742158106624; https://twitter.com/hashtag/isis?src=hash; https://twitter.com/hashtag/pjnet?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/XuG3AeVdKg; https://t.co/2UMNayT85a; https://twitter.com/hashtag/anythingbutislam?src=hash; https://twitter.com/hashtag/religionof?src=hash","https://pbs.twimg.com/media/CjMUmZwUgAEyPNX.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Michael Burmeister","https://twitter.com/MtBurmeister","Freak out all you want but... #MAGA pic.twitter.com/M3MlCHPIP6","Michael Burmeister; Tomi Lahren‏Verified account @TomiLahren; 7 Oct 2016; #MAGA; pic.twitter.com/M3MlCHPIP6","https://twitter.com/MtBurmeister; https://twitter.com/TomiLahren; https://twitter.com/TomiLahren/status/784542903326703620; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/M3MlCHPIP6","https://pbs.twimg.com/media/CuNBnJYXgAEu7y0.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Barb Voted Trump 💋","https://twitter.com/winegirl73","#WakeUpAmerica Even Dem Pollster Pat Caddell says DOJ investigation of Hillary's emails was rigged #Trump #MAGA http://www.breitbart.com/radio/2016/10/07/pat-caddell-if-you-think-dojs-hillary-email-investigation-wasnt-rigged-youre-not-living-in-21st-century-america/ …","Barb Voted Trump 💋; John Cheney MAGA 🌹‏ @JrcheneyJohn; 7 Oct 2016; #WakeUpAmerica; #Trump; #MAGA; http://www.breitbart.com/radio/2016/10/07/pat-caddell-if-you-think-dojs-hillary-email-investigation-wasnt-rigged-youre-not-living-in-21st-century-america/ …","https://twitter.com/winegirl73; https://twitter.com/JrcheneyJohn; https://twitter.com/JrcheneyJohn/status/784511235677007873; https://twitter.com/hashtag/WakeUpAmerica?src=hash; https://twitter.com/hashtag/Trump?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/jwdJyCPuDK","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Deplorables Win","https://twitter.com/Secca2013","#Maga Ruff Ryders https://twitter.com/Secca2013/status/784521457460252675 …","Deplorables Win; Pharlap‏ @pharLap9; 7 Oct 2016; #Maga; https://twitter.com/Secca2013/status/784521457460252675 …","https://twitter.com/Secca2013; https://twitter.com/pharLap9; https://twitter.com/pharLap9/status/784524439937486848; https://twitter.com/hashtag/Maga?src=hash; https://t.co/0coilCY4oO","https://pbs.twimg.com/media/CuMuGzbXYAYvOlA.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Judy Johnson","https://twitter.com/JudyHJohn","Great insight from Ben Carson. Do we need a pathological liar like Hillary in office? #VoteTrump #MAGA pic.twitter.com/1YKdQ4TSoN","Judy Johnson; The Trump Train‏ @The_Trump_Train; 7 Oct 2016; #VoteTrump; #MAGA; pic.twitter.com/1YKdQ4TSoN","https://twitter.com/JudyHJohn; https://twitter.com/The_Trump_Train; https://twitter.com/The_Trump_Train/status/784453149251829760; https://twitter.com/hashtag/VoteTrump?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/1YKdQ4TSoN","https://pbs.twimg.com/media/CuLv-gkXYAEeccE.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","","","Don't let your panties get so twisted you vote for #CrookedHillary. Put our country first. @realDonaldTrump is still the man to #MAGA!","Lynn A. Babish‏ @babish_lynn; 7 Oct 2016; #CrookedHillary; @realDonaldTrump; #MAGA","https://twitter.com/babish_lynn; https://twitter.com/babish_lynn/status/784543822760009728; https://twitter.com/hashtag/CrookedHillary?src=hash; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/MAGA?src=hash","","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","Pollywollydoodles","https://twitter.com/PaulaJanL","Wikileaks Appears To Release CROOKED HILLARY'S Paid Speech Transcripts https://sck.pm/oVb #MAGA #FeelTheBern #BernieSanders #bernie #RTpic.twitter.com/Q4qy9mqwMp","Pollywollydoodles; Ted Hooley‏ @ed_hooley; 7 Oct 2016; https://sck.pm/oVb; #MAGA; #FeelTheBern; #BernieSanders; #bernie; #RT; pic.twitter.com/Q4qy9mqwMp","https://twitter.com/PaulaJanL; https://twitter.com/ed_hooley; https://twitter.com/ed_hooley/status/784519685924683776; https://t.co/7J3vnxvMDd; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/FeelTheBern?src=hash; https://twitter.com/hashtag/BernieSanders?src=hash; https://twitter.com/hashtag/bernie?src=hash; https://twitter.com/hashtag/RT?src=hash; https://t.co/Q4qy9mqwMp","https://pbs.twimg.com/media/CuMsfZJVMAAfO4m.jpg","",""
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-10-07%20until%3A2016-10-8&src=typd&lang=en","@PrisonPlanet","https://twitter.com/PrisonPlanet",".@PrisonPlanet @rgenci57 Exactly. Trump doesn't have a problem with women. Women have a problem with Trump, they need to get over it #MAGA","OzProtectionistParty‏ @OzProtectionist; 7 Oct 2016; @PrisonPlanet; @PrisonPlanet; @rgenci57; #MAGA","https://twitter.com/OzProtectionist; https://twitter.com/OzProtectionist/status/784543797761994752; https://twitter.com/PrisonPlanet; https://twitter.com/PrisonPlanet; https://twitter.com/rgenci57; https://twitter.com/hashtag/MAGA?src=hash","","",""
