"url","New column"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#trump #Imwithher The Washington Post. Trump’s false claim that stop and frisk in NYC wasn’t ruled unconstitutional http://wapo.st/2cJznNm"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Bring it on, Mr. Trump #ImWithHer #MadamPresidentpic.twitter.com/5mlQOxGNg0"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Emboldened by he idea of a female President, women nationwide confidently asked how many sets you got left on the bench. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#HRC #Hillary2016 #ImWithHer supporters know this is true,so Y vote 4 her & reward her with her criminal acts.Natl Security Risk #VoteTrumphttps://twitter.com/immigrant4trump/status/781235719750557696 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#IfAGenieGrantedMeAWish: An orange buffoon would be sent sniffling his way back home to his golden tower and mail order bride... #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Ya mean, the donors #ImWithHer fundraiser meetings aren't like this. Oh... So sad https://twitter.com/ajdelgado13/status/781277791761362945 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","ＵＲＧＥＮＴCALL TO ACTION See video #ICANN #TrumpTrain #TrumpArmy #ImWithHer #CruzCrew #JillStein #FeelTheBern #BreakTheInternet #viralhttps://twitter.com/crane_maiden/status/781278451252752384 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","HillaryClinton: RT Sia: #ImWithHer #Stamina #TheGreatestpic.twitter.com/LHVyY7bd40"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Realistic plans to create jobs and grow our economy. This is what we need. #ImWithHer #HillarysArmy #debatespic.twitter.com/I9NqkcDkaR"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Now add against campaign finance reform. Really?!? #FeelTheBern should definitely switch to #ImWithHer https://twitter.com/joyannreid/status/781279769056931840 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","@DigFolkProj @lynneSmcneill #ImWithHer Excellent video! https://twitter.com/BRios82/status/780937137793306624 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Hello #America! #StrongerTogether/#ImWithHer She is conning (or trying to) EVERYONE not checking her failed record even B4 #WhiteWater #ARhttps://twitter.com/HalleyBorderCol/status/781273710837784577 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","either candidate wins we screwed anyways lol if i vote for her at least i have a chance 2 meet pusha #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","I @FLOTUS @MichelleObama @POTUS @BarackObama! #ImWithHer ""Michelle Obama just went off on Donald Trump"" https://www.washingtonpost.com/pwa/#https://www.washingtonpost.com/news/the-fix/wp/2016/09/28/michelle-obama-just-went-off-on-donald-trump/ …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","One for the books! Brilliant! #ImWithHer https://twitter.com/sdzzz/status/780960603602948096 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#SheWon Adorable, Happy family picture! #vote4Hillary #BreakingGlassCeilings #ImWithHer#ClintonKaine2016 pic.twitter.com/L23fx0xBiX"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#ImWithHer: Beauty 'fat-shamed' by #Trump was accused of being murder accomplice http://dailym.ai/2dq2WpR via @MailOnline"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","I am sure he is also considers himself a pro-life catholic #facepalm #ImWithHer https://twitter.com/dktnns/status/781271187322245120 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","EVERYONE REJECTING @HillaryClinton #ImWithHer pic.twitter.com/fLGF26NKam"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Gary Johnson says the way to solve student debt and affordability is to eliminate gov student loans. That is idiotic. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","When you and your teacher are wearing the same nail polish. #opi #MadamePresident #ImWithHer pic.twitter.com/AHJ7jydqRL"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","A Grain Of Saul: I Wrote That I Despised #HillaryClinton. Today, I Want To Publicly Take It Back. http://aplus.com/a/grain-of-saul-support-hillary-clinton … #p2 #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","HillaryClinton: RT Sia: #ImWithHer #Stamina #TheGreatestpic.twitter.com/DlKzycbmnR"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","Before and after searches for each candidate on Monday's debate! #Hillary was most searched in ALL 50 states after debate. #ImWithHer pic.twitter.com/lELog3dzta"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","A vote for these guys is a vote for Trumplethinskin we are a two party system #ImWithHer https://twitter.com/hardball/status/781263863148838917 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","#NeverTrump #ImWithHer Feeling anxiety about this election? Well #Trump is what experts call a toxic abuser: https://www.facebook.com/ernest.williams.100/posts/10206784541083430 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-09-28%20until%3A2016-09-29&src=typd&lang=en","@ReallyGoodReads @mschlapp I have read her record and #ImWithHer. Now this is where you call me a terrible name."
