"url","tweet"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Trump self-deprecating? Find out tonight. Dinner broadcasts live at 8:50pm ET on C-SPAN http://cs.pn/2dSJ2PU #AlSmithDinner #ImWithHer pic.twitter.com/dALsZa7Bvm"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Except for Trump: ""nasty woman"", ""bad hombres"" & ""I'll keep you in suspense"" about election results. #ImWithHer #StrongerTogetherhttps://twitter.com/petridishes/status/788932447782051840 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Adolf Hitler is sitting in hell watching Fox News thinking...(damn dude you've gone too far). #USAElections #NeverTrump #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","New York Times concludes there’s nothing scandalous in WikiLeaks stolen Clinton emails http://www.dailynewsbin.com/news/new-york-times-acknowledges-theres-nothing-scandalous-in-wikileaks-stolen-hillary-clinton-emails/26346/ … via @dailynewsbin #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","This “Nasty Woman"" and her ""Bad Hombe"" are voting. #imwithher #neverTrump @realDonaldTrump http://www.vox.com/policy-and-politics/2016/10/20/13341416/nasty-woman-feminist-rallying-cry-hillary-clinton?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Michelle Obama Rips Trump For Rigged Election Claims | HPost #NeverTrump #cdnpoli #debate #ImWithHer http://m.huffpost.com/us/entry/us_580937eae4b000d0b155c31e/amp …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","never realized until tonight that she's got a really great laugh!! Nice to hear. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","#ImWithHer peeps..Don't forget @HillaryClinton has a ""Public Position"" & ""Private Position"" translated means she LIES 2 your faces! #DemExithttps://twitter.com/wikileaks/status/788916832782671873 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Glad we got that cleared up... Trump: I’ll Accept The Results Of The Election ‘If I Win’ #p2 #UniteBlue #ImWithHer http://talkingpointsmemo.com/livewire/donald-trump-accept-presidential-election-if-win …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Woman Debunks Trump’s Debate Abortion Lies With Heartbreaking Story - http://occupydemocrats.com/2016/10/20/woman-debunks-trumps-debate-abortion-lies-heartbreaking-story/ … #ImWithHer #UniteBlue #IStandWithPP"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","I still think #ImWithHer people should pay closer attention to this deceptive and lies. It won't get better if she's president! https://twitter.com/kailanikm/status/789223637035483138 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","This is the Obama / Clinton #Legacy - Political and Legal Systems reduced to 3rd-world status #NeverTrump #ImWithHer #TeamClinton #Trump2016https://twitter.com/WendyPrince2/status/789250122672594944 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","I #DedicateMyNoTrumpVote to all my fellow #NastyWomen #ImWithHer @HillaryClintonpic.twitter.com/iLeaSU4o4K"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Donald Trump reminds me of Hurricane Katrina. His candidacy has uncovered some very unpleasant truths. #badhombres #nastywomen #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Will @realDonaldTrump LAUGH Is he capable of LAUGHING or has he lived in his darkness too long ...#ImWithHer #ClintonKaine #NEVERTRUMPhttps://twitter.com/oliverdarcy/status/789251608060231680 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","So how can we get @donnabrazile fired? I'm assuming she is too stupid to resign based on Megyn Kelly's interview. #neverhillary #imwithher ?"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Latest whiny excuse-ridden poor loser status update... #GOP #p2 #UniteBlue #ImWithHer pic.twitter.com/9FAh8bBCTO"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Say what you want about her, but personally, I think Hillary Clinton did a fantastic job at all three presidential debates. #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","Hopefully by #November 9th it'll be, ""Madame President, if you're #Nasty"" #ImWithHer @HillaryClinton #Hillary2016 #Debates2016 #Debatespic.twitter.com/zqMfUPJDUx"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-20%20until%3A2016-10-21&src=typd&lang=en","It's not about party. We are the NATION of hope, grace, & compassion -- and will remain so well beyond 2016. #imwithher #strongertogetherpic.twitter.com/0A4PWr4JfH"
